City,Bathroom,Balcony,BHK,Area (Sqft),Floor Ratio,New Property,Resale,Furnished,Semi-Furnished,Freehold,Co-operative Society,Leasehold,Power Of Attorney,Age Less than 5 Years,Age 5 to 10 Years,Age 15 to 20 Years,New Construction,Age above 20 Years,Main Road,Garden/Park,Pool,Parking Spaces,Amount (Lac)
Ahmedabad,3,2,3,1430,0.9,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,80
Ahmedabad,3,1,3,1490,0.29,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,90
Ahmedabad,2,1,3,1050,0.53,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,80
Ahmedabad,3,1,3,1785,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,2,90
Ahmedabad,2,1,2,630,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,50
Ahmedabad,2,2,2,1170,0.2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,51
Ahmedabad,3,1,3,1765,0.64,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,2,87
Ahmedabad,3,1,3,1745,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,84
Ahmedabad,3,1,3,1749,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,85
Ahmedabad,2,2,2,650,0.67,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,55
Ahmedabad,2,2,2,720,0.43,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,51
Ahmedabad,2,1,2,684,0.42,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,52
Ahmedabad,2,2,2,1170,1.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,57
Ahmedabad,2,1,2,900,1.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,75
Ahmedabad,2,2,2,1200,0.08,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,69
Ahmedabad,2,1,2,729,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,57
Ahmedabad,2,2,2,825,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,65
Ahmedabad,3,2,3,1020,0.43,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,71
Ahmedabad,2,2,2,990,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,48
Ahmedabad,2,1,3,1350,0.0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,80
Ahmedabad,3,3,3,1080,0.75,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,72
Ahmedabad,2,2,2,1260,0.83,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,64
Ahmedabad,3,2,3,918,0.08,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,70
Ahmedabad,2,2,2,600,0.14,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,48
Ahmedabad,2,1,2,873,0.45,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,70
Ahmedabad,3,1,3,825,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,72
Ahmedabad,3,1,3,1123,0.77,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,73
Ahmedabad,2,1,2,666,0.77,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,64
Ahmedabad,3,1,3,1155,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,90
Ahmedabad,2,1,2,744,0.36,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,62
Ahmedabad,3,2,3,1548,0.33,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,73
Ahmedabad,2,2,3,938,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,62
Ahmedabad,2,1,2,950,0.27,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,75
Ahmedabad,2,1,2,800,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,65
Ahmedabad,2,2,2,549,0.14,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,70
Ahmedabad,3,1,3,991,0.36,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,82
Ahmedabad,3,2,3,2000,1.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,85
Ahmedabad,2,2,2,1280,0.2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,66
Ahmedabad,3,2,3,1950,0.6,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,85
Ahmedabad,3,2,3,1330,0.71,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,70
Ahmedabad,2,1,2,1000,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,75
Ahmedabad,3,2,3,792,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,65
Ahmedabad,2,2,2,642,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,53
Ahmedabad,3,1,3,873,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,62
Ahmedabad,2,2,2,855,0.5,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,53
